T0EndTime 14:40:00
ForceTradeTime 14:50:00
SH603633 1000
SZ002428 1000
SH603239 1000
SH600146 1000
SH603612 1000
SZ300248 1000
SH603601 1000
SH600984 1000
SZ002569 1000
SH600371 1000
SZ300432 1000
SZ002115 1000
SH603159 1000
SH603028 1000
SZ002823 1000
SZ300471 1000
SZ300101 1000
SH603701 1000
SZ300472 1000
SZ300319 1000
SH600598 1000
SH601615 1000
SH600637 1000
SZ300251 1000
SH603056 1000
SH601238 1000
SH600338 1000
SH603328 1000
SH601878 1000
SH601881 1000
SH600516 1000
SZ002191 1000
SZ002440 1000
SH600299 1000
SH600138 1000
SZ002670 1000
SZ002493 1000
SH600380 1000
SH601828 1000
SZ000970 1000
SZ000400 1000
SZ000501 1000
SZ002946 1000
SZ002332 1000
SH600000 1000
SZ300274 1000
SH603225 1000
SZ002233 1000
SZ002202 1000
SZ000878 1000
SH600597 1000
SH601200 1000
SZ002465 1000
SZ002818 1000
SH601788 1000
SH603626 1000
SH603069 1000
SZ300087 1000
SH600114 1000
SH600136 1000
SZ300507 1000
SH600580 1000
SH601990 1000
SZ300081 1000
SH603536 1000
SZ002261 1000
SH603050 1000
SZ300132 1000
SH600288 1000
SH600556 1000
SH600093 1000
SZ300302 1000
SH600206 1000
SZ300713 1000
SZ002805 1000
SH600060 1000
SH600862 1000
SH600061 1000
SZ300088 1000
SH600155 1000
SH600977 1000
SH600718 1000
SH600316 1000
SH603885 1000
SH600383 1000
SZ002945 1000
SH601198 1000
SZ002736 1000
SZ002254 1000
SH600663 1000
SH600195 1000
SZ002372 1000
SZ002407 1000
SH600167 1000
SZ000738 1000
SH600260 1000
SZ000156 1000
SH600867 1000
SH600549 1000
SH601811 1000
SZ000975 1000
SH601098 1000
SZ002444 1000
SZ000990 1000
SZ002939 1000
SH600903 1000
SH600859 1000
SH600352 1000
SH600639 1000
SZ000062 1000
SZ000712 1000
SZ002745 1000
SZ000703 1000
SH600895 1000
SH601865 1000
SH603839 1000
SH600088 1000
SH603729 1000
SZ300455 1000
SH603103 1000
SZ300227 1000
SZ300069 1000
SH600876 1000
SZ300465 1000
SH603788 1000
SH603617 1000
SZ300085 1000
SZ300448 1000
SZ002530 1000
SH603330 1000
SH603306 1000
SZ300581 1000
SZ300010 1000
SZ000700 1000
SH600884 1000
SH600438 1000
SZ002411 1000
SH600373 1000
SH600267 1000
SH600216 1000
SZ002317 1000
SH603877 1000
SZ000021 1000
SH600557 1000
SZ002065 1000
SZ300134 1000
SH600233 1000
SZ002941 1000
SZ000066 1000
SZ000547 1000
SH600750 1000
SH600372 1000
SZ002028 1000
SZ002387 1000
SZ002602 1000
SZ000338 1000
SH600837 1000
SZ002157 1000
SH600329 1000
SZ002044 1000
SZ000776 1000
SH600362 1000
SZ002544 1000
SH600066 1000
SH600062 1000
SZ002038 1000
SZ300059 1000
SZ002405 1000
SZ000001 1000
SH600048 1000
SH600648 1000
SH600835 1000
SH603035 1000
SH603598 1000
SH603037 1000
SH603308 1000
SH600882 1000
SZ002866 1000
SH603718 1000
SZ300386 1000
SZ300031 1000
SZ000998 1000
SH600131 1000
SZ300585 1000
SZ300429 1000
SZ300480 1000
SZ300409 1000
SH603880 1000
SH600258 1000
SZ300467 1000
SZ300580 1000
SZ300280 1000
SH601808 1000
SZ300168 1000
SH600460 1000
SH603377 1000
SZ000636 1000
SH600739 1000
SH600998 1000
SZ300166 1000
SZ002603 1000
SH600056 1000
SH600079 1000
SZ002382 1000
SZ002739 1000
SZ002607 1000
SZ300009 1000
SZ002030 1000
SZ002815 1000
SZ300024 1000
SZ002129 1000
SZ002456 1000
SH600645 1000
SH600004 1000
SH600346 1000
SH603650 1000
SH600031 1000
SZ000997 1000
SH600487 1000
SZ002273 1000
SH600535 1000
SH601688 1000
SH600999 1000
SZ002601 1000
SH603556 1000
SH603198 1000
SH600690 1000
SH600482 1000
SZ002250 1000
SH600993 1000
